model,split,metric_scope,length_bin,max_length,truncation_strategy,accuracy,f1,auc,training_time_seconds,inference_time_seconds
RoBERTa_T256_head-only,test,by_length,short,256.0,head-only,0.9468818288788031,0.9500158177791838,0.9852388812668732,165.84095859527588,66.7980432510376
RoBERTa_T256_head-only,test,by_length,medium,256.0,head-only,0.9321915005553282,0.9303219605958674,0.981320221887852,165.84095859527588,66.7980432510376
RoBERTa_T256_head-only,test,by_length,long,256.0,head-only,0.8569958847736625,0.8635917566241413,0.936952816877465,165.84095859527588,66.7980432510376
RoBERTa_T256_head+tail,validation,overall,all,256.0,head+tail,0.9238,0.9277177006260672,0.98371952,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,validation,by_length,short,256.0,head+tail,0.9336244541484716,0.9400630914826499,0.9839661129079682,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,validation,by_length,medium,256.0,head+tail,0.9221382916908774,0.9239931934203063,0.9841938174375945,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,validation,by_length,long,256.0,head+tail,0.910411622276029,0.9224318658280922,0.9790249433106576,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,test,overall,all,256.0,head+tail,0.92312,0.9273840108810639,0.9855280703999999,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,test,by_length,short,256.0,head+tail,0.9309127584467978,0.9369148119723715,0.9861003515442228,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,test,by_length,medium,256.0,head+tail,0.9244169053603788,0.9270027663298143,0.9865814793878307,163.20122480392456,65.18017601966858
RoBERTa_T256_head+tail,test,by_length,long,256.0,head+tail,0.8878600823045267,0.9026785714285714,0.970872858017136,163.20122480392456,65.18017601966858
RoBERTa_T512_head-only,validation,overall,all,512.0,head-only,0.9468,0.9469061876247505,0.98528256,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,validation,by_length,short,512.0,head-only,0.9493449781659389,0.9529983792544571,0.9859967656571595,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,validation,by_length,medium,512.0,head-only,0.9500290528762347,0.9485338120885697,0.9866858486153579,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,validation,by_length,long,512.0,head-only,0.9128329297820823,0.9170506912442397,0.9713010204081632,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,test,overall,all,512.0,head-only,0.94672,0.9469195823702877,0.9869334175999999,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,test,by_length,short,512.0,head-only,0.9465456379223399,0.9495077802476977,0.9864360349255729,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,test,by_length,medium,512.0,head-only,0.9498450926521307,0.9486719310839914,0.9882820138286176,307.42496943473816,134.6390450000763
RoBERTa_T512_head-only,test,by_length,long,512.0,head-only,0.9197530864197531,0.925,0.9746988899088807,307.42496943473816,134.6390450000763
RoBERTa_T512_head+tail,validation,overall,all,512.0,head+tail,0.947,0.9461710339224051,0.98710448,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,validation,by_length,short,512.0,head+tail,0.948471615720524,0.950792326939116,0.9874883612662941,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,validation,by_length,medium,512.0,head+tail,0.9488669378268448,0.9464720194647201,0.9873056459004163,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,validation,by_length,long,512.0,head+tail,0.927360774818402,0.9311926605504587,0.9833711262282692,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,test,overall,all,512.0,head+tail,0.94668,0.9456118160675671,0.9878733472000001,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,test,by_length,short,512.0,head+tail,0.944192301227097,0.9458401305057096,0.9867662803041203,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,test,by_length,medium,512.0,head+tail,0.9492605366224353,0.9470150164815041,0.9887527365428994,316.40332674980164,142.1488218307495
RoBERTa_T512_head+tail,test,by_length,long,512.0,head+tail,0.9315843621399177,0.9334001001502253,0.9834261950904394,316.40332674980164,142.1488218307495
